Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,5200.0,5200.0,5200.0,5200.0,4606.876953125,0
2019-01-02,5200.0,5245.0,5200.0,5240.0,4642.31494140625,35956000
2019-01-03,5200.0,5220.0,5115.0,5180.0,4589.158203125,72358000
2019-01-04,5175.0,5205.0,5125.0,5205.0,4611.306640625,51465000
2019-01-07,5265.0,5325.0,5245.0,5245.0,4646.74462890625,73438000
2019-01-08,5230.0,5320.0,5205.0,5240.0,4642.31494140625,66247500
2019-01-09,5300.0,5320.0,5225.0,5255.0,4655.60400390625,84871000
2019-01-10,5300.0,5300.0,5190.0,5255.0,4655.60400390625,114314500
2019-01-11,5280.0,5300.0,5235.0,5250.0,4651.173828125,84826500
2019-01-14,5220.0,5235.0,5150.0,5200.0,4606.876953125,87547500
2019-01-15,5230.0,5260.0,5190.0,5260.0,4660.03271484375,87763000
2019-01-16,5260.0,5285.0,5245.0,5285.0,4682.1826171875,94972500
2019-01-17,5290.0,5330.0,5285.0,5330.0,4722.048828125,91654000
2019-01-18,5340.0,5425.0,5315.0,5425.0,4806.21337890625,100873500
2019-01-21,5425.0,5600.0,5390.0,5545.0,4912.525390625,87118000
2019-01-22,5600.0,5620.0,5450.0,5600.0,4961.2529296875,91907000
2019-01-23,5600.0,5600.0,5475.0,5500.0,4872.65966796875,98512500
2019-01-24,5430.0,5485.0,5355.0,5460.0,4837.22119140625,106781000
2019-01-25,5400.0,5520.0,5400.0,5500.0,4872.65966796875,68944000
2019-01-28,5515.0,5515.0,5475.0,5495.0,4868.22900390625,69704000
2019-01-29,5445.0,5550.0,5440.0,5540.0,4908.095703125,77679000
2019-01-30,5560.0,5560.0,5495.0,5520.0,4890.37744140625,76285000
2019-01-31,5520.0,5640.0,5520.0,5635.0,4992.26025390625,135904500
2019-02-01,5680.0,5750.0,5560.0,5635.0,4992.26025390625,57719500
2019-02-04,5635.0,5635.0,5500.0,5500.0,4872.65966796875,113846500
2019-02-05,5500.0,5500.0,5500.0,5500.0,4872.65966796875,0
2019-02-06,5500.0,5540.0,5495.0,5535.0,4903.66650390625,121996500
2019-02-07,5535.0,5535.0,5505.0,5530.0,4899.2373046875,63697500
2019-02-08,5530.0,5535.0,5500.0,5520.0,4890.37744140625,65268500
2019-02-11,5520.0,5530.0,5460.0,5495.0,4868.22900390625,37639000
2019-02-12,5530.0,5530.0,5450.0,5460.0,4837.22119140625,95883500
2019-02-13,5460.0,5490.0,5410.0,5420.0,4801.78271484375,103115500
2019-02-14,5405.0,5405.0,5380.0,5380.0,4766.3466796875,108738500
2019-02-15,5360.0,5410.0,5335.0,5360.0,4748.62744140625,81340000
2019-02-18,5410.0,5500.0,5410.0,5480.0,4854.93994140625,62991000
2019-02-19,5420.0,5480.0,5380.0,5380.0,4766.3466796875,64469000
2019-02-20,5450.0,5595.0,5440.0,5500.0,4872.65966796875,89583000
2019-02-21,5540.0,5560.0,5470.0,5505.0,4877.0869140625,54561500
2019-02-22,5475.0,5525.0,5460.0,5490.0,4863.79931640625,48271500
2019-02-25,5490.0,5500.0,5455.0,5490.0,4863.79931640625,47887000
2019-02-26,5500.0,5555.0,5495.0,5555.0,4921.384765625,98446000
2019-02-27,5565.0,5570.0,5545.0,5565.0,4930.244140625,78519500
2019-02-28,5570.0,5580.0,5510.0,5515.0,4885.9482421875,99366000
2019-03-01,5565.0,5600.0,5535.0,5540.0,4908.095703125,72589500
2019-03-04,5520.0,5540.0,5515.0,5535.0,4903.66650390625,63910500
2019-03-05,5500.0,5505.0,5440.0,5495.0,4868.22900390625,46499500
2019-03-06,5555.0,5555.0,5490.0,5490.0,4863.79931640625,37777000
2019-03-07,5490.0,5490.0,5490.0,5490.0,4863.79931640625,0
2019-03-08,5545.0,5570.0,5440.0,5440.0,4819.50244140625,61126000
2019-03-11,5530.0,5530.0,5460.0,5505.0,4877.0869140625,32469000
2019-03-12,5540.0,5540.0,5450.0,5500.0,4872.65966796875,40178500
2019-03-13,5450.0,5505.0,5450.0,5500.0,4872.65966796875,17722000
2019-03-14,5450.0,5495.0,5450.0,5480.0,4854.93994140625,41096000
2019-03-15,5520.0,5545.0,5485.0,5540.0,4908.095703125,41759500
2019-03-18,5555.0,5560.0,5535.0,5550.0,4916.95556640625,42791000
2019-03-19,5540.0,5545.0,5485.0,5490.0,4863.79931640625,51527000
2019-03-20,5540.0,5555.0,5465.0,5470.0,4846.080078125,42388500
